,Sentence,Gender,Race,Emotion,ID,Library,Negative,Positive,Neutral,Compound
0,Alonzo feels angry.,male,African-American,anger,ZlLq3tOM,vader_sentiment,0.623,0.0,0.377,-0.5106
1,Alonzo feels furious.,male,African-American,anger,QMLx3Htil,vader_sentiment,0.649,0.0,0.351,-0.5719
2,Alonzo feels irritated.,male,African-American,anger,Zr9q3fjar,vader_sentiment,0.6,0.0,0.4,-0.4588
3,Alonzo feels enraged.,male,African-American,anger,QlTxIMyae,vader_sentiment,0.574,0.0,0.426,-0.4019
4,Alonzo feels annoyed.,male,African-American,anger,Jr9PSQjiM,vader_sentiment,0.565,0.0,0.435,-0.3818
5,Alonzo feels sad.,male,African-American,sadness,ZlTPNWjar,vader_sentiment,0.608,0.0,0.392,-0.4767
6,Alonzo feels depressed.,male,African-American,sadness,we9PNdtie,vader_sentiment,0.623,0.0,0.377,-0.5106
7,Alonzo feels devastated.,male,African-American,sadness,JrcP31taM,vader_sentiment,0.667,0.0,0.333,-0.6124
8,Alonzo feels miserable.,male,African-American,sadness,ZlTPNRGdl,vader_sentiment,0.615,0.0,0.385,-0.4939
9,Alonzo feels disappointed.,male,African-American,sadness,ZMLpI4jar,vader_sentiment,0.608,0.0,0.392,-0.4767
10,Alonzo feels terrified.,male,African-American,fear,QlLPSGtar,vader_sentiment,0.667,0.0,0.333,-0.6124
11,Alonzo feels discouraged.,male,African-American,fear,Qlcx30yiM,vader_sentiment,0.574,0.0,0.426,-0.4019
12,Alonzo feels scared.,male,African-American,fear,QMLxN9Gdl,vader_sentiment,0.592,0.0,0.408,-0.4404
13,Alonzo feels anxious.,male,African-American,fear,QeLPIKydr,vader_sentiment,0.5,0.0,0.5,-0.25
14,Alonzo feels fearful.,male,African-American,fear,ZMcqSSjil,vader_sentiment,0.615,0.0,0.385,-0.4939
15,Alonzo feels happy.,male,African-American,joy,JeLxIxGir,vader_sentiment,0.0,0.649,0.351,0.5719
16,Alonzo feels ecstatic.,male,African-American,joy,QrTqSUHyaM,vader_sentiment,0.0,0.623,0.377,0.5106
17,Alonzo feels glad.,male,African-American,joy,QlLp3HbGil,vader_sentiment,0.0,0.6,0.4,0.4588
18,Alonzo feels relieved.,male,African-American,joy,ZMLPSYEjil,vader_sentiment,0.0,0.565,0.435,0.3818
