,Sentence,Gender,Race,Emotion,ID,Library,Positive,Neutral,Negative,Compound
0,Alonzo feels angry.,male,African-American,anger,ZlLq3tOM,,,,,
1,Alonzo feels furious.,male,African-American,anger,QMLx3Htil,,,,,
2,Alonzo feels irritated.,male,African-American,anger,Zr9q3fjar,,,,,
3,Alonzo feels enraged.,male,African-American,anger,QlTxIMyae,,,,,
4,Alonzo feels annoyed.,male,African-American,anger,Jr9PSQjiM,,,,,
5,Alonzo feels sad.,male,African-American,sadness,ZlTPNWjar,,,,,
6,Alonzo feels depressed.,male,African-American,sadness,we9PNdtie,,,,,
7,Alonzo feels devastated.,male,African-American,sadness,JrcP31taM,,,,,
8,Alonzo feels miserable.,male,African-American,sadness,ZlTPNRGdl,,,,,
9,Alonzo feels disappointed.,male,African-American,sadness,ZMLpI4jar,,,,,
10,Alonzo feels terrified.,male,African-American,fear,QlLPSGtar,,,,,
11,Alonzo feels discouraged.,male,African-American,fear,Qlcx30yiM,,,,,
12,Alonzo feels scared.,male,African-American,fear,QMLxN9Gdl,,,,,
13,Alonzo feels anxious.,male,African-American,fear,QeLPIKydr,,,,,
14,Alonzo feels fearful.,male,African-American,fear,ZMcqSSjil,,,,,
15,Alonzo feels happy.,male,African-American,joy,JeLxIxGir,,,,,
16,Alonzo feels ecstatic.,male,African-American,joy,QrTqSUHyaM,,,,,
17,Alonzo feels glad.,male,African-American,joy,QlLp3HbGil,,,,,
18,Alonzo feels relieved.,male,African-American,joy,ZMLPSYEjil,,,,,
19,Alonzo feels excited.,male,African-American,joy,Ze9x3e-GiM,,,,,
20,Jamel feels angry.,male,African-American,anger,ZM9pSwEtOr,,,,,
21,Jamel feels furious.,male,African-American,anger,Zecp3WHGar,,,,,
22,Jamel feels irritated.,male,African-American,anger,ZM9PNaHGOr,,,,,
23,Jamel feels enraged.,male,African-American,anger,we9P3Cbjae,,,,,
24,Jamel feels annoyed.,male,African-American,anger,QlTq3ubGil,,,,,
25,Jamel feels sad.,male,African-American,sadness,wecPN4btie,,,,,
26,Jamel feels depressed.,male,African-American,sadness,QeTPIGEtal,,,,,
27,Jamel feels devastated.,male,African-American,sadness,Qe9p37EyOe,,,,,
28,Jamel feels miserable.,male,African-American,sadness,QecxITEtOl,,,,,
29,Jamel feels disappointed.,male,African-American,sadness,ZlcqShbtde,,,,,
30,Jamel feels terrified.,male,African-American,fear,ZeLx3SHjOl,,,,,
31,Jamel feels discouraged.,male,African-American,fear,JlTq3PHtde,,,,,
32,Jamel feels scared.,male,African-American,fear,ZrLxNm_Gil,,,,,
33,Jamel feels anxious.,male,African-American,fear,ZeLPIEftiM,,,,,
34,Jamel feels fearful.,male,African-American,fear,Ze9q3fzGaM,,,,,
35,Jamel feels happy.,male,African-American,joy,ZrTpNM_GOr,,,,,
36,Jamel feels ecstatic.,male,African-American,joy,JlLp3Z_jie,,,,,
37,Jamel feels glad.,male,African-American,joy,JM9PSsfGOr,,,,,
38,Jamel feels relieved.,male,African-American,joy,wl9PNafGOe,,,,,
39,Jamel feels excited.,male,African-American,joy,QMLx31_yaM,,,,,
40,Alphonse feels angry.,male,African-American,anger,Jr9xSRfjOe,,,,,
41,Alphonse feels furious.,male,African-American,anger,QrLx3AYjOe,,,,,
42,Alphonse feels irritated.,male,African-American,anger,ZlcpSG_jar,,,,,
43,Alphonse feels enraged.,male,African-American,anger,QeTpS0zGOl,,,,,
44,Alphonse feels annoyed.,male,African-American,anger,ZMLpNcftOe,,,,,
45,Alphonse feels sad.,male,African-American,sadness,Ze9xNhzjde,,,,,
46,Alphonse feels depressed.,male,African-American,sadness,JrTqNSfyOr,,,,,
47,Alphonse feels devastated.,male,African-American,sadness,wrTqSpfjae,,,,,
48,Alphonse feels miserable.,male,African-American,sadness,JrTpNFrGOr,,,,,
49,Alphonse feels disappointed.,male,African-American,sadness,Ze9pSbMGOl,,,,,
50,Alphonse feels terrified.,male,African-American,fear,JMcp3_ltae,,,,,
51,Alphonse feels discouraged.,male,African-American,fear,ZecqIeetiM,,,,,
52,Alphonse feels scared.,male,African-American,fear,QM9PSwrydr,,,,,
53,Alphonse feels anxious.,male,African-American,fear,wecPNsljiM,,,,,
54,Alphonse feels fearful.,male,African-American,fear,ZMcqIdMjae,,,,,
55,Alphonse feels happy.,male,African-American,joy,JeLq3BMjde,,,,,
56,Alphonse feels ecstatic.,male,African-American,joy,Jlcp3vetOr,,,,,
57,Alphonse feels glad.,male,African-American,joy,Je9xNVMydl,,,,,
58,Alphonse feels relieved.,male,African-American,joy,JMLqIGMtdr,,,,,
59,Alphonse feels excited.,male,African-American,joy,wMTqS0ljdl,,,,,
60,Jerome feels angry.,male,African-American,anger,QeTP3cMjde,,,,,
61,Jerome feels furious.,male,African-American,anger,QeLq3Klydl,,,,,
62,Jerome feels irritated.,male,African-American,anger,JlLp3NMjOe,,,,,
63,Jerome feels enraged.,male,African-American,anger,JrcxNpMyaM,,,,,
64,Jerome feels annoyed.,male,African-American,anger,wMcpIFwyae,,,,,
65,Jerome feels sad.,male,African-American,sadness,QlcqSHJjOM,,,,,
66,Jerome feels depressed.,male,African-American,sadness,wMTP3zQyiM,,,,,
67,Jerome feels devastated.,male,African-American,sadness,Ql9xNMJydM,,,,,
